SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-6-2017,Single Family Residential,9470 Mountain Blvd,Oakland,CA,94605,759000,5,4.0,Oak Knoll Area,3015,4762,1997,377,252,,Sold,,,http://www.redfin.com/CA/Oakland/9470-Mountain-Blvd-94605/home/1224394,EBRD/CCAR/Bay East,40772101,N,Y,37.7580779,-122.1472174
PAST SALE,December-15-2017,Single Family Residential,3306 Partridge Ave,Oakland,CA,94605,670000,3,1.0,Eastmont Hills,1236,4720,1939,124,542,,Sold,,,http://www.redfin.com/CA/Oakland/3306-Partridge-Ave-94605/home/1041477,EBRD/CCAR/Bay East,40803334,N,Y,37.7657335,-122.1603022
PAST SALE,December-22-2017,Single Family Residential,7949 Crest Ave,Oakland,CA,94605,699000,4,2.5,King Estates,2234,4500,1962,117,313,,Sold,,,http://www.redfin.com/CA/Oakland/7949-Crest-Ave-94605/home/1445802,EBRD/CCAR/Bay East,40803999,N,Y,37.7678501,-122.1596591
PAST SALE,February-24-2016,Single Family Residential,6640 Brann St,Oakland,CA,94605,305000,2,1.0,Mills,,1875,1922,784,,,Sold,,,http://www.redfin.com/CA/Oakland/6640-Brann-St-94605/home/944584,EBRD/CCAR/Bay East,40727484,N,Y,37.7711696,-122.1806582
PAST SALE,August-13-2015,Single Family Residential,2438 68TH Ave,Oakland,CA,94605,282000,2,1.0,Oakland,1178,3200,1925,979,239,,Sold,,,http://www.redfin.com/CA/Oakland/2438-68th-Ave-94605/home/1363250,EBRD/CCAR/Bay East,40702526,N,Y,37.7650898,-122.1853142
PAST SALE,July-27-2017,Single Family Residential,6681 Brann St,Oakland,CA,94605,490000,2,1.0,Havenscourt,986,2850,1924,265,497,,Sold,,,http://www.redfin.com/CA/Oakland/6681-Brann-St-94605/home/1776013,EBRD/CCAR/Bay East,40788440,N,Y,37.770694,-122.1797713
PAST SALE,August-12-2016,Single Family Residential,8314 ASTER Ave,Oakland,CA,94605,720000,3,3.0,King Estates,1606,5390,1940,614,448,,Sold,,,http://www.redfin.com/CA/Oakland/8314-Aster-Ave-94605/home/1524992,EBRD/CCAR/Bay East,40749451,N,Y,37.7643806,-122.1602135
PAST SALE,,Single Family Residential,9450 Mountain Blvd,Oakland,CA,94605,1030000,6,4.0,,3750,32249,1997,,275,,,,,http://www.redfin.com/CA/Oakland/9450-Mountain-Blvd-94605/home/1655223,,,N,Y,37.7583526,-122.147173
PAST SALE,,Single Family Residential,3340 82nd Ave,Oakland,CA,94605,215000,3,1.0,,1256,5100,1940,,171,,,,,http://www.redfin.com/CA/Oakland/3340-82nd-Ave-94605/home/1307755,,,N,Y,37.7652743,-122.1592377
PAST SALE,September-13-2017,Multi-Family (2-4 Unit),7701 Ney,Oakland,CA,94560-5,590500,9,4.0,Oakland,3109,8282,1945,217,190,,Sold,,,http://www.redfin.com/CA/Oakland/7701-Ney-Ave-94605/home/1667522,EBRD/CCAR/Bay East,40791253,N,Y,37.7676713,-122.1680858
PAST SALE,January-30-2018,Single Family Residential,7005 Macarthur Blvd,Oakland,CA,94605,360000,2,1.0,Eastmont Mall,746,2838,1923,78,483,,Sold,,,http://www.redfin.com/CA/Oakland/7005-MacArthur-Blvd-94605/home/1914136,EBRD/CCAR/Bay East,40802992,N,Y,37.7700777,-122.1744498
PAST SALE,June-27-2017,Single Family Residential,8410 Aster Ave,Oakland,CA,94605,765000,2,2.0,Eastmont Hills,1834,10246,1957,295,417,,Sold,,,http://www.redfin.com/CA/Oakland/8410-Aster-Ave-94605/home/1533209,EBRD/CCAR/Bay East,40781112,N,Y,37.7641419,-122.1592821
PAST SALE,,Single Family Residential,13763 Campus Dr,Oakland,CA,94605,1700000,3,3.0,,3241,59400,1988,,525,,,,,http://www.redfin.com/CA/Oakland/13763-Campus-Dr-94605/home/1743236,,,N,Y,37.7762605,-122.1526733
PAST SALE,,Single Family Residential,8033 Ney Ave,Oakland,CA,94605,580000,5,4.0,,3547,9750,1921,,164,,,,,http://www.redfin.com/CA/Oakland/8033-Ney-Ave-94605/home/1981537,,,N,Y,37.7640984,-122.164693
PAST SALE,July-13-2017,Single Family Residential,7957 Ney Ave,OAKLAND,CA,94605,570000,4,3.0,OAKLAND,2300,4500,1920,279,248,,Sold,,,http://www.redfin.com/CA/Oakland/7957-Ney-Ave-94605/home/1992914,MLSListings,ML81654101,N,Y,37.7649331,-122.1651365
PAST SALE,September-15-2016,Single Family Residential,350 ELYSIAN FIELDS Dr,Oakland,CA,94605,865000,3,2.0,Sequoyah Hghlds,2210,12369,1964,580,391,,Sold,,,http://www.redfin.com/CA/Oakland/350-Elysian-Fields-Dr-94605/home/1946605,EBRD/CCAR/Bay East,40750074,N,Y,37.7604029,-122.1289625
PAST SALE,December-18-2017,Single Family Residential,8824 Thermal St,Oakland,CA,94605,742000,3,2.0,Toler Heights,1579,7000,1952,121,470,,Sold,,,http://www.redfin.com/CA/Oakland/8824-Thermal-St-94605/home/584876,EBRD/CCAR/Bay East,40803258,N,Y,37.7570873,-122.160524
PAST SALE,March-23-2018,Single Family Residential,4056 Burckhalter Ave,Oakland,CA,94605,630000,2,1.0,Upper Millsmont,,6048,1963,26,,,Sold,,,http://www.redfin.com/CA/Oakland/4056-Burckhalter-Ave-94605/home/2000591,EBRD/CCAR/Bay East,40810732,N,Y,37.7760502,-122.1654913
PAST SALE,April-12-2018,Single Family Residential,13555 Skyline Blvd,Oakland,CA,94619,865000,3,3.0,Hillcrest Estate,2112,49425,1959,6,410,4,Sold,,,http://www.redfin.com/CA/Oakland/13555-Skyline-Blvd-94619/home/579405,EBRD/CCAR/Bay East,40814394,N,Y,37.784887,-122.143181
PAST SALE,March-30-2018,Single Family Residential,8366 Iris St,Oakland,CA,94605,331000,3,1.5,Eastmont,1305,4235,1926,19,254,,Sold,,,http://www.redfin.com/CA/Oakland/8366-Iris-St-94605/home/1881115,EBRD/CCAR/Bay East,40808846,N,Y,37.760787,-122.164505
PAST SALE,March-31-2017,Vacant Land,,Oakland,CA,94603,195000,,,Oakland,,32212,,383,,,Sold,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94605/home/22672923,EBRD/CCAR/Bay East,40767689,N,Y,37.749698,-122.131926
PAST SALE,July-21-2017,Single Family Residential,2763 106Th Ave,Oakland,CA,94605,420000,2,1.0,Knowland Park,805,3920,1943,271,522,,Sold,,,http://www.redfin.com/CA/Oakland/2763-106th-Ave-94605/home/1399180,EBRD/CCAR/Bay East,40784216,N,Y,37.7445499,-122.150185
